network	station_id	station_name	station_type	owner	lat	lon
NOAA CO-OPS	9415102	Martinez-Amorco Pier	meteorology,water_level,water_temperature	NOAA CO-OPS	38.0346	-122.1252
NOAA CO-OPS	9415144	Port Chicago	meteorology,water_level,water_temperature	NOAA CO-OPS	38.056	-122.0395
NOAA CO-OPS	9416841	Arena Cove	meteorology,water_level,water_temperature	NOAA CO-OPS	38.914555	-123.71108
NOAA CO-OPS	9418767	North Spit	meteorology,water_level,water_temperature	NOAA CO-OPS	40.766907	-124.21735
NOAA CO-OPS	9419750	Crescent City	meteorology,water_level,water_temperature	NOAA CO-OPS	41.74561	-124.18439
NOAA CO-OPS	9431647	Port Orford	meteorology,water_level,water_temperature	NOAA CO-OPS	42.739	-124.4983
NOAA CO-OPS	9432780	Charleston	meteorology,water_level,water_temperature	NOAA CO-OPS	43.345	-124.322
NOAA CO-OPS	9435380	South Beach	meteorology,water_level,water_temperature	NOAA CO-OPS	44.625446	-124.044945
NOAA CO-OPS	9439040	Astoria	meteorology,water_level,water_temperature	NOAA CO-OPS	46.207306	-123.7683
NOAA CO-OPS	9440422	Longview	meteorology,water_level,water_temperature	NOAA CO-OPS	46.1061	-122.9542
NOAA CO-OPS	9440910	Toke Point	meteorology,water_level,water_temperature	NOAA CO-OPS	46.7075	-123.96694
NOAA CO-OPS	9441102	Westport	meteorology,water_level,water_temperature	NOAA CO-OPS	46.90431	-124.10508
NOAA CO-OPS	9442396	La Push, Quillayute River	meteorology,water_level,water_temperature	NOAA CO-OPS	47.912838	-124.63574
NOAA CO-OPS	9443090	Neah Bay	meteorology,water_level,water_temperature	NOAA CO-OPS	48.370724	-124.601585
NOAA CO-OPS	9444090	Port Angeles	meteorology,water_level,water_temperature	NOAA CO-OPS	48.125	-123.44
NOAA CO-OPS	9444900	Port Townsend	meteorology,water_level,water_temperature	NOAA CO-OPS	48.11122	-122.759674
NOAA CO-OPS	9446484	Tacoma	meteorology,water_level,water_temperature	NOAA CO-OPS	47.2667	-122.4133
NOAA CO-OPS	9447130	Seattle	meteorology,water_level,water_temperature	NOAA CO-OPS	47.60264	-122.3393
NOAA CO-OPS	9449424	Cherry Point	meteorology,water_level,water_temperature	NOAA CO-OPS	48.862717	-122.75858
NOAA CO-OPS	9449880	Friday Harbor	meteorology,water_level,water_temperature	NOAA CO-OPS	48.545277	-123.0125
NOAA CO-OPS	9450460	Ketchikan	meteorology,water_level,water_temperature	NOAA CO-OPS	55.331944	-131.62611
NOAA CO-OPS	9451054	Port Alexander	meteorology,water_level,water_temperature	NOAA CO-OPS	56.2467	-134.647
NOAA CO-OPS	9451600	Sitka	meteorology,water_level,water_temperature	NOAA CO-OPS	57.051056	-135.34412
NOAA CO-OPS	9452210	Juneau	meteorology,water_level,water_temperature	NOAA CO-OPS	58.2988	-134.4106
NOAA CO-OPS	9452400	Skagway, Taiya Inlet	meteorology,water_level,water_temperature	NOAA CO-OPS	59.4508	-135.328
NOAA CO-OPS	9452634	Elfin Cove	meteorology,water_level,water_temperature	NOAA CO-OPS	58.19472	-136.34694
NOAA CO-OPS	9453220	Yakutat, Yakutat Bay	meteorology,water_level,water_temperature	NOAA CO-OPS	59.5485	-139.7334
NOAA CO-OPS	9454050	Cordova	meteorology,water_level,water_temperature	NOAA CO-OPS	60.5583	-145.753
NOAA CO-OPS	9454240	Valdez	meteorology,water_level,water_temperature	NOAA CO-OPS	61.125	-146.362
NOAA CO-OPS	9455500	Seldovia	meteorology,water_level,water_temperature	NOAA CO-OPS	59.4405	-151.7199
NOAA CO-OPS	9455760	Nikiski	meteorology,water_level,water_temperature	NOAA CO-OPS	60.6833	-151.398
NOAA CO-OPS	9455920	Anchorage	water_level,water_temperature	NOAA CO-OPS	61.2375	-149.8904
NOAA CO-OPS	9457292	Kodiak Island	water_level,water_temperature	NOAA CO-OPS	57.7317	-152.512
NOAA CO-OPS	9457804	Alitak	meteorology,water_level,water_temperature	NOAA CO-OPS	56.89739	-154.248
NOAA CO-OPS	9459450	Sand Point	meteorology,water_level,water_temperature	NOAA CO-OPS	55.331722	-160.50433
NOAA CO-OPS	9459881	King Cove	meteorology,water_level,water_temperature	NOAA CO-OPS	55.05989	-162.32611
NOAA CO-OPS	9461380	Adak Island	meteorology,water_level,water_temperature	NOAA CO-OPS	51.860638	-176.63759
NOAA CO-OPS	9461710	Atka	meteorology,water_level,water_temperature	NOAA CO-OPS	52.231945	-174.1725
NOAA CO-OPS	9462620	Unalaska	meteorology,water_level,water_temperature	NOAA CO-OPS	53.879196	-166.5403
NOAA CO-OPS	9463502	Port Moller	meteorology,water_level,water_temperature	NOAA CO-OPS	55.985832	-160.57361
NOAA CO-OPS	9464212	Village Cove, St Paul Island	meteorology,water_level,water_temperature	NOAA CO-OPS	57.1253	-170.2852
NOAA CO-OPS	9468333	Unalakleet	meteorology,water_level,water_temperature	NOAA CO-OPS	63.875	-160.788
NOAA CO-OPS	9468756	Nome, Norton Sound	meteorology,water_level,water_temperature	NOAA CO-OPS	64.49461	-165.43964
